3M                                                     94  MAPLEWOOD           MN55144     91584   
A-MARK PRECIOUS METALS                                 395 PHILADELPHIA        PA19107     83000   
ABBOTT LABORATORIES                                    135 SANTA MONICA        CA90401     75000   
ABBVIE                                                 111 NORTH CHICAGO       IL60064     30000   
ABM INDUSTRIES                                         500 NEW YORK            NY10176     110000  
ACTIVISION BLIZZARD                                                                                
ADOBE SYSTEMS                                          443 MCLEAN              VA22102     15706   
ADP                                                    240 ROSELAND            NJ7068      57000   
ADVANCE AUTO PARTS                                     292 ROANOKE             VA24012     57500   
AECOM                                                  161 LOS ANGELES         CA90067     87000   
AES                                                    194 ARLINGTON           VA22203     19000   
AETNA                                                  43  HARTFORD            CT6156      49500   
AFLAC                                                  126 COLUMBUS            GA31999     10212   
AGCO                                                   370 DULUTH              GA30096     19795   
AIG                                                    55  NEW YORK            NY10038     56400   
AIR PRODUCTS & CHEMICALS                               294 ALLENTOWN           PA18195     18450   
AIRGAS                                                 489 RADNOR              PA19087     17000   
AK STEEL HOLDING                                       441 WEST CHESTER        OH45069     8500    
ALASKA AIR GROUP                                       438 SEATTLE             WA98188     19112   
ALBERTSONS COS.                                        49  BOISE               ID83706     274000  
ALCOA                                                  300 NEW YORK            NY10022     14000   
ALLEGHANY                                              428 NEW YORK            NY10036     3420    
ALLIANCE DATA SYSTEMS                                  378 PLANO               TX75024     17000   
ALLSTATE                                               84  NORTHBROOK          IL60062     43275   
ALLY FINANCIAL                                         286 DETROIT             MI48226     7600    
ALPHABET                                               27  MOUNTAIN VIEW       CA94043     72053   
ALTRIA GROUP                                           148 RICHMOND            VA23230     8300    
AMAZON.COM                                             12  SEATTLE             WA98109     341400  
AMEREN                                                 431 SAINT LOUIS         MO63103     8629    
AMERICAN AIRLINES GROUP                                67  FORT WORTH          TX76155     122300  
AMERICAN ELECTRIC POWER                                167 COLUMBUS            OH43215     17634   
AMERICAN EXPRESS                                       86  NEW YORK            NY10285     56400   
AMERICAN FAMILY INSURANCE GROUP                        315 MADISON             WI53783     10471   
AMERICAN FINANCIAL GROUP                               411 CINCINNATI          OH45202     7600    
AMERICAN TOWER                                         449 BOSTON              MA2116      4507    
AMERIPRISE FINANCIAL                                   239 MINNEAPOLIS         MN55474     13195   
AMERISOURCEBERGEN                                      11  CHESTERBROOK        PA19087     18500   
